Country,GDP,Population,GDP_per_capita,Area
Afghanistan,17233051620.0,41454761,415.71,647500.0
Albania,23547179830.0,2745972,8575.17,28748.0
Algeria,247626161016.0,46164219,5364.03,2381740.0
Andorra,3785067332.0,80856,46812.45,468.0
Angola,84824654482.0,36749906,2308.16,1246700.0
Antigua and Barbuda,2033085185.0,93316,21787.1,443.0
Argentina,646075277525.0,45538401,14187.48,2766890.0
Armenia,24085749592.0,2990900,8053.01,29800.0
Aruba,3648573136.0,107359,33984.79,193.0
Australia,1728057316696.0,26658948,64820.91,7686850.0
Austria,511685203845.0,9131761,56033.57,83870.0
Azerbaijan,72356176471.0,10153958,7125.91,86600.0
"Bahamas, The",14338500000.0,399440,35896.51,13940.0
Bahrain,46079867021.0,1577059,29218.86,665.0
Bangladesh,437415331041.0,171466990,2551.02,144000.0
Barbados,6720733200.0,282336,23804.02,431.0
Belarus,71857382746.0,9178298,7829.05,207600.0
Belgium,644782756683.0,11787423,54700.91,30528.0
Belize,3066850000.0,411106,7460.0,22966.0
Benin,19676049076.0,14111034,1394.37,112620.0
Bermuda,8141700000.0,64698,125841.6,53.0
Bhutan,2686000000.0,727145,3500.0,47000.0
Bolivia,45135398009.0,12244159,3686.28,1098580.0
Bosnia and Herzegovina,27514782476.0,3185073,8638.67,51129.0
Botswana,19396084498.0,2480244,7820.23,600370.0
Brazil,2173665655937.0,211140729,10294.87,8511965.0
Brunei ,15128292981.0,458949,32962.91,5770.0
Bulgaria,102407653021.0,6446596,15885.54,110910.0
Burkina Faso,20324617845.0,23025776,882.69,274200.0
Burundi,2642161669.0,13689450,193.01,27830.0
Cape Verde,2533819406.0,522331,4850.98,4033.0
Cambodia,42335646896.0,17423880,2429.75,181040.0
Cameroon,49279410983.0,28372687,1736.86,475440.0
Canada,2142470914401.0,40097761,53431.19,9984670.0
Cayman Islands,7139428558.0,73038,97749.51,262.0
Central African Republic,2555492085.0,5152421,495.98,622984.0
Chad,13149325362.0,19319064,680.64,1284000.0
Chile,335533331669.0,19658835,17067.81,756950.0
China,17794783039552.0,1410710000,12614.06,9596960.0
Colombia,363493841244.0,52321152,6947.36,1138910.0
Comoros,1352380971.0,850387,1590.31,2170.0
"Congo, Dem. Rep.",66383287003.0,105789731,627.5,2345410.0
"Congo, Rep.",15321055823.0,6182885,2477.98,342000.0
Cook Islands,384000000.0,21994,15040.0,240.0
Costa Rica,86497941439.0,5105525,16942.03,51100.0
Cote d'Ivoire,78875489245.0,31165654,2530.85,322460.0
Croatia,84393795502.0,3859686,21865.46,56542.0
Cuba,147194000000.0,10055968,13128.0,110860.0
Curacao,3281419347.0,147862,22192.45,444.0
Cyprus,33886930712.0,1344976,25195.19,9250.0
Czechia,343207874554.0,10864042,31591.18,78866.0
Denmark,407091920305.0,5946952,68453.88,43094.0
Djibouti,4098530514.0,1152944,3554.84,23000.0
Dominica,653992592.6,66510,9833.0,754.0
Dominican Republic,121444279314.0,11331265,10717.63,48730.0
Ecuador,118844826000.0,17980083,6609.8,283560.0
Egypt,396002496997.0,114535772,3457.46,1001450.0
El Salvador,34015620000.0,6309624,5391.07,21040.0
Equatorial Guinea,12337550584.0,1847549,6677.79,28051.0
Eritrea,1980000000.0,3749000,566.0,121320.0
Estonia,41291245222.0,1370286,30133.3,45226.0
Eswatini,4442875788.0,1230506,3610.61,17363.0
Ethiopia,163697927594.0,128691692,1272.02,1127127.0
Faroe Islands,3907323961.0,54482,71717.7,1399.0
Fiji,5442046565.0,924145,5888.74,18270.0
Finland,295532341255.0,5583911,52925.69,338145.0
France,3051831611385.0,68287487,44690.93,547030.0
